state_name_harmonized,year,road_deaths_n,source
Uttar Pradesh,2019,8830.0,morth2023
Uttar Pradesh,2020,7859.0,morth2023
Uttar Pradesh,2021,8506.0,morth2023
Uttar Pradesh,2022,8479.0,morth2023
Uttar Pradesh,2023,8446.0,morth2023
Tamil Nadu,2019,6661.0,morth2023
Tamil Nadu,2020,5454.0,morth2023
Tamil Nadu,2021,5263.0,morth2023
Tamil Nadu,2022,5978.0,morth2023
Tamil Nadu,2023,6258.0,morth2023
Maharashtra,2019,3799.0,morth2023
Maharashtra,2020,3528.0,morth2023
Maharashtra,2021,4080.0,morth2023
Maharashtra,2022,4923.0,morth2023
Maharashtra,2023,5780.0,morth2023
Madhya Pradesh,2019,2904.0,morth2023
Madhya Pradesh,2020,3022.0,morth2023
Madhya Pradesh,2021,3389.0,morth2023
Madhya Pradesh,2022,4025.0,morth2023
Madhya Pradesh,2023,4476.0,morth2023
Karnataka,2019,3842.0,morth2023
Karnataka,2020,3330.0,morth2023
Karnataka,2021,3487.0,morth2023
Karnataka,2022,4164.0,morth2023
Karnataka,2023,4383.0,morth2023
Rajasthan,2019,3870.0,morth2023
Rajasthan,2020,3320.0,morth2023
Rajasthan,2021,3829.0,morth2023
Rajasthan,2022,4156.0,morth2023
Rajasthan,2023,4172.0,morth2023
Bihar,2019,3436.0,morth2023
Bihar,2020,3285.0,morth2023
Bihar,2021,3517.0,morth2023
Bihar,2022,3953.0,morth2023
Bihar,2023,4078.0,morth2023
Andhra Pradesh,2019,3114.0,morth2023
Andhra Pradesh,2020,2858.0,morth2023
Andhra Pradesh,2021,3602.0,morth2023
Andhra Pradesh,2022,3793.0,morth2023
Andhra Pradesh,2023,3806.0,morth2023
Telangana,2019,2491.0,morth2023
Telangana,2020,2620.0,morth2023
Telangana,2021,2735.0,morth2023
Telangana,2022,3010.0,morth2023
Telangana,2023,3058.0,morth2023
Gujarat,2019,1898.0,morth2023
Gujarat,2020,1797.0,morth2023
Gujarat,2021,2077.0,morth2023
Gujarat,2022,2109.0,morth2023
Gujarat,2023,2233.0,morth2023
