state_name_harmonized,year,accidental_death_rate_per_lakh,source,note
Ladakh,2023,75.4,ncrb_adsi_2023,rate per lakh population; national avg = 31.9
Puducherry,2023,66.5,ncrb_adsi_2023,rate per lakh population; national avg = 31.9
Maharashtra,2023,55.1,ncrb_adsi_2023,rate per lakh population; national avg = 31.9
Haryana,2023,53.7,ncrb_adsi_2023,rate per lakh population; national avg = 31.9
Chhattisgarh,2023,52.9,ncrb_adsi_2023,rate per lakh population; national avg = 31.9
Madhya Pradesh,2023,49.8,ncrb_adsi_2023,rate per lakh population; national avg = 31.9
Sikkim,2023,49.2,ncrb_adsi_2023,rate per lakh population; national avg = 31.9
Odisha,2023,48.1,ncrb_adsi_2023,rate per lakh population; national avg = 31.9
Goa,2023,45.9,ncrb_adsi_2023,rate per lakh population; national avg = 31.9
Andaman & Nicobar Islands,2023,45.7,ncrb_adsi_2023,rate per lakh population; national avg = 31.9
Karnataka,2023,44.2,ncrb_adsi_2023,rate per lakh population; national avg = 31.9
Tamil Nadu,2023,42.6,ncrb_adsi_2023,rate per lakh population; national avg = 31.9
Kerala,2023,41.7,ncrb_adsi_2023,rate per lakh population; national avg = 31.9
Himachal Pradesh,2023,40.9,ncrb_adsi_2023,rate per lakh population; national avg = 31.9
Rajasthan,2023,37.1,ncrb_adsi_2023,rate per lakh population; national avg = 31.9
Punjab,2023,36.0,ncrb_adsi_2023,rate per lakh population; national avg = 31.9
Telangana,2023,35.1,ncrb_adsi_2023,rate per lakh population; national avg = 31.9
Gujarat,2023,32.1,ncrb_adsi_2023,rate per lakh population; national avg = 31.9
Andhra Pradesh,2023,32.0,ncrb_adsi_2023,rate per lakh population; national avg = 31.9
Chandigarh,2023,25.3,ncrb_adsi_2023,rate per lakh population; national avg = 31.9
Mizoram,2023,24.3,ncrb_adsi_2023,rate per lakh population; national avg = 31.9
Arunachal Pradesh,2023,21.8,ncrb_adsi_2023,rate per lakh population; national avg = 31.9
Jharkhand,2023,21.2,ncrb_adsi_2023,rate per lakh population; national avg = 31.9
Uttarakhand,2023,21.1,ncrb_adsi_2023,rate per lakh population; national avg = 31.9
Dadra & Nagar Haveli and Daman & Diu,2023,18.9,ncrb_adsi_2023,rate per lakh population; national avg = 31.9
Uttar Pradesh,2023,18.3,ncrb_adsi_2023,rate per lakh population; national avg = 31.9
Delhi,2023,16.3,ncrb_adsi_2023,rate per lakh population; national avg = 31.9
Tripura,2023,15.9,ncrb_adsi_2023,rate per lakh population; national avg = 31.9
Meghalaya,2023,15.0,ncrb_adsi_2023,rate per lakh population; national avg = 31.9
West Bengal,2023,14.9,ncrb_adsi_2023,rate per lakh population; national avg = 31.9
Assam,2023,14.9,ncrb_adsi_2023,rate per lakh population; national avg = 31.9
Bihar,2023,12.9,ncrb_adsi_2023,rate per lakh population; national avg = 31.9
Jammu & Kashmir,2023,10.7,ncrb_adsi_2023,rate per lakh population; national avg = 31.9
Manipur,2023,6.0,ncrb_adsi_2023,rate per lakh population; national avg = 31.9
Lakshadweep,2023,4.3,ncrb_adsi_2023,rate per lakh population; national avg = 31.9
Nagaland,2023,3.2,ncrb_adsi_2023,rate per lakh population; national avg = 31.9
